Stationsnamn;Stationsid;Stationens latitud;Stationens longitud,
EDEBÄCK;274;60.0638;13.5582,
,
Parameternamn;Enhet,
Vattenföring;m³/s,
,
Datum (svensk sommartid);Vattenföring;Kvalitet;,
1910-01-01;70.0000;G;;;Tidsperiod (fr.o.m.) = 1909-12-31 22:00:00 (UTC),
1910-01-02;70.0000;G;;;Tidsperiod (t.o.m.) = 1947-12-30 22:00:00 (UTC),
1910-01-03;70.0000;G;;;,
1910-01-04;69.0000;G;;;Ett dygnsvärde mäts enligt svensk sommartid, d v s kl 22-22 UTC.
1910-01-05;69.0000;G;;;,
1910-01-06;69.0000;G;;;Kvalitetskoderna:,
1910-01-07;69.0000;G;;;Grön (G) = Kontrollerade och godkända värden.,
1910-01-08;68.0000;G;;;Gul (Y) = Grovt kontrollerade värden.,
1910-01-09;68.0000;G;;;Orange (O) = Okontrollerade värden.,
1910-01-10;68.0000;G;;;,
1910-01-11;68.0000;G;;;Orsaker till saknade data:,
1910-01-12;68.0000;G;;;  stationen eller givaren har varit ur funktion.,
1910-01-13;67.0000;G;;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1910-05-31;393.0000;G;,
1910-06-01;413.0000;G;,
1910-06-02;413.0000;G;,
1910-06-03;438.0000;G;,
1910-06-04;400.0000;G;,
1910-06-05;352.0000;G;,
1910-06-06;312.0000;G;,
1910-06-07;297.0000;G;,
1910-06-08;288.0000;G;,
1910-06-09;273.0000;G;,
1910-06-10;261.0000;G;,
1910-06-11;247.0000;G;,
1910-06-12;233.0000;G;,
1910-06-13;226.0000;G;,
1910-06-14;213.0000;G;,
1910-06-15;215.0000;G;,
1910-06-16;219.0000;G;,
1910-06-17;222.0000;G;,
1910-06-18;213.0000;G;,
1910-06-19;199.0000;G;,
1910-06-20;186.0000;G;,
1910-06-21;176.0000;G;,
1910-06-22;167.0000;G;,
1910-06-23;159.0000;G;,
1910-06-24;149.0000;G;,
1910-06-25;145.0000;G;,
1910-06-26;139.0000;G;,
1910-06-27;134.0000;G;,
1910-06-28;131.0000;G;,
1910-06-29;143.0000;G;,
1910-06-30;183.0000;G;,
1910-07-01;179.0000;G;,
1910-07-02;176.0000;G;,
1910-07-03;196.0000;G;,
1910-07-04;211.0000;G;,
1910-07-05;196.0000;G;,
1910-07-06;189.0000;G;,
1910-07-07;201.0000;G;,
1910-07-08;208.0000;G;,
1910-07-09;208.0000;G;,
1910-07-10;196.0000;G;,
1910-07-11;183.0000;G;,
1910-07-12;163.0000;G;,
1910-07-13;148.0000;G;,
1910-07-14;134.0000;G;,
1910-07-15;125.0000;G;,
1910-07-16;123.0000;G;,
1910-07-17;112.0000;G;,
1910-07-18;103.0000;G;,
1910-07-19;100.0000;G;,
1910-07-20;97.0000;G;,
1910-07-21;97.0000;G;,
1910-07-22;97.0000;G;,
1910-07-23;96.0000;G;,
1910-07-24;94.0000;G;,
1910-07-25;90.0000;G;,
1910-07-26;89.0000;G;,
1910-07-27;89.0000;G;,
1910-07-28;89.0000;G;,
1910-07-29;89.0000;G;,
1910-07-30;90.0000;G;,
1910-07-31;87.0000;G;,
1910-08-01;83.0000;G;,
1910-08-02;80.0000;G;,
1910-08-03;79.0000;G;,
1910-08-04;112.0000;G;,
1910-08-05;149.0000;G;,
1910-08-06;159.0000;G;,
1910-08-07;183.0000;G;,
1910-08-08;179.0000;G;,
1910-08-09;155.0000;G;,
1910-08-10;136.0000;G;,
1910-08-11;123.0000;G;,
1910-08-12;115.0000;G;,
1910-08-13;105.0000;G;,
1910-08-14;100.0000;G;,
1910-08-15;96.0000;G;,
1910-08-16;92.0000;G;,
1910-08-17;91.0000;G;,
1910-08-18;89.0000;G;,
1910-08-19;91.0000;G;,
1910-08-20;94.0000;G;,
1910-08-21;100.0000;G;,
1910-08-22;95.0000;G;,
1910-08-23;90.0000;G;,
1910-08-24;86.0000;G;,
1910-08-25;80.0000;G;,
1910-08-26;75.0000;G;,
1910-08-27;73.0000;G;,
1910-08-28;73.0000;G;,
1910-08-29;71.0000;G;,
1910-08-30;69.0000;G;,
1910-08-31;67.0000;G;,
1910-09-01;67.0000;G;,
1910-09-02;68.0000;G;,
1910-09-03;73.0000;G;,
1910-09-04;88.0000;G;,
1910-09-05;128.0000;G;,
1910-09-06;151.0000;G;,
1910-09-07;132.0000;G;,
1910-09-08;112.0000;G;,
1910-09-09;97.0000;G;,
1910-09-10;88.0000;G;,
1910-09-11;81.0000;G;,
1910-09-12;77.0000;G;,
1910-09-13;76.0000;G;,
1910-09-14;79.0000;G;,
1910-09-15;80.0000;G;,
1910-09-16;78.0000;G;,
1910-09-17;75.0000;G;,
1910-09-18;69.0000;G;,
1910-09-19;66.0000;G;,
1910-09-20;64.0000;G;,
1910-09-21;63.0000;G;,
1910-09-22;60.0000;G;,
1910-09-23;58.0000;G;,
1910-09-24;56.0000;G;,
1910-09-25;55.0000;G;,
1910-09-26;53.0000;G;,
1910-09-27;52.0000;G;,
1910-09-28;50.0000;G;,
1910-09-29;49.0000;G;,
1910-09-30;49.0000;G;,
1910-10-01;49.0000;G;,
1910-10-02;49.0000;G;,
1910-10-03;48.0000;G;,
1910-10-04;48.0000;G;,
1910-10-05;52.0000;G;,
1910-10-06;58.0000;G;,
1910-10-07;79.0000;G;,
1910-10-08;77.0000;G;,
1910-10-09;71.0000;G;,
1910-10-10;65.0000;G;,
1910-10-11;63.0000;G;,
1910-10-12;60.0000;G;,
1910-10-13;62.0000;G;,
1910-10-14;67.0000;G;,
1910-10-15;88.0000;G;,
1910-10-16;96.0000;G;,
1910-10-17;88.0000;G;,
1910-10-18;79.0000;G;,
1910-10-19;74.0000;G;,
1910-10-20;72.0000;G;,
1910-10-21;88.0000;G;,
1910-10-22;101.0000;G;,
1910-10-23;108.0000;G;,
1910-10-24;114.0000;G;,
1910-10-25;92.0000;G;,
1910-10-26;86.0000;G;,
1910-10-27;79.0000;G;,
1910-10-28;74.0000;G;,
